Date,BBL.BK,TTB.BK,KBANK.BK,PTTEP.BK,PTT.BK,CPALL.BK,CENTEL.BK,TISCO.BK,CBG.BK,LH.BK
2022-09-07,129.88929748535156,1.204310417175293,144.19117736816406,155.90362548828125,34.9104118347168,59.5521240234375,45.25,83.63223266601562,98.2916488647461,8.183221817016602
2022-09-08,128.91998291015625,1.204310417175293,143.21690368652344,151.17926025390625,34.2027702331543,60.293434143066406,46.25,83.40619659423828,98.78557586669922,8.230252265930176
2022-09-09,130.37396240234375,1.2139447927474976,145.16543579101562,154.01388549804688,34.674530029296875,59.30501937866211,47.25,83.63223266601562,97.79772186279297,8.41837215423584
2022-09-12,131.34329223632812,1.24284827709198,147.1139678955078,155.43118286132812,35.14628982543945,59.5521240234375,47.25,84.9884262084961,98.53861236572266,8.41837215423584
2022-09-13,130.85862731933594,1.2235792875289917,147.1139678955078,154.95875549316406,34.9104118347168,59.5521240234375,47.0,84.76239776611328,98.2916488647461,8.41837215423584
2022-09-14,130.37396240234375,1.2332137823104858,146.13970947265625,155.43118286132812,34.674530029296875,59.05791473388672,46.5,84.53636169433594,98.04468536376953,8.324312210083008
2022-09-15,129.88929748535156,1.2139447927474976,144.6782989501953,157.79336547851562,34.674530029296875,58.81081008911133,48.0,84.53636169433594,97.5507583618164,8.37134075164795
2022-09-16,129.88929748535156,1.2139447927474976,144.19117736816406,157.3209228515625,34.674530029296875,58.31660079956055,45.25,84.76239776611328,96.3159408569336,8.41837215423584
2022-09-19,131.8279571533203,1.2139447927474976,145.65257263183594,158.73822021484375,34.674530029296875,57.575286865234375,46.25,86.11859893798828,92.36451721191406,8.277281761169434
2022-09-20,132.31260681152344,1.2139447927474976,146.6268310546875,160.15554809570312,34.9104118347168,57.575286865234375,47.75,85.89256286621094,93.35237121582031,8.277281761169434
2022-09-21,131.8279571533203,1.2139447927474976,146.13970947265625,164.8798828125,34.9104118347168,57.32818603515625,46.75,85.6665267944336,92.36451721191406,8.230252265930176
2022-09-22,133.2819366455078,1.2332137823104858,147.1139678955078,163.9350128173828,35.14628982543945,56.33976745605469,46.75,86.3446273803711,92.1175537109375,8.230252265930176
2022-09-23,136.18991088867188,1.2235792875289917,147.60110473632812,161.1004180908203,34.9104118347168,56.0926628112793,48.5,85.44049835205078,91.12969207763672,8.277281761169434
2022-09-26,134.7359161376953,1.1850414276123047,145.65257263183594,156.84849548339844,34.9104118347168,55.598453521728516,47.75,84.9884262084961,89.64791107177734,8.324312210083008
2022-09-27,131.8279571533203,1.1657724380493164,141.26837158203125,155.43118286132812,34.674530029296875,55.845558166503906,48.75,84.53636169433594,89.15398406982422,8.606491088867188
2022-09-28,131.8279571533203,1.1657724380493164,139.80697631835938,153.0690155029297,34.234375,56.0926628112793,48.5,84.76239776611328,85.9434585571289,8.512432098388672
2022-09-29,133.7666015625,1.1657724380493164,140.78125,152.12413024902344,33.50078201293945,55.598453521728516,48.25,84.76239776611328,83.72077941894531,8.465401649475098
2022-09-30,132.31260681152344,1.1657724380493164,140.2941131591797,151.65170288085938,33.256248474121094,55.598453521728516,49.0,83.85826110839844,84.21470642089844,8.37134075164795
2022-10-03,128.43531799316406,1.1465035676956177,136.88418579101562,155.43118286132812,33.256248474121094,53.621620178222656,46.75,82.72810363769531,81.99202728271484,8.183221817016602
2022-10-04,130.85862731933594,1.1561379432678223,138.8327178955078,155.90362548828125,33.74531173706055,53.374515533447266,49.25,82.95413208007812,81.74506378173828,8.277281761169434
2022-10-05,132.31260681152344,1.1561379432678223,138.3455810546875,158.73822021484375,33.74531173706055,54.36293411254883,50.0,83.40619659423828,79.52239227294922,8.324312210083008
2022-10-06,133.7666015625,1.1754069328308105,138.8327178955078,160.6279754638672,33.74531173706055,53.621620178222656,49.5,85.44049835205078,81.25113677978516,8.277281761169434
2022-10-07,133.7666015625,1.1754069328308105,139.31985473632812,160.6279754638672,33.74531173706055,53.127410888671875,50.5,84.9884262084961,81.0041732788086,8.230252265930176
2022-10-10,132.79727172851562,1.1657724380493164,138.3455810546875,161.1004180908203,33.74531173706055,55.104244232177734,49.25,84.08429718017578,80.2632827758789,8.183221817016602
2022-10-11,131.8279571533203,1.1561379432678223,139.80697631835938,160.6279754638672,33.74531173706055,54.36293411254883,49.0,83.85826110839844,81.0041732788086,8.042131423950195
2022-10-12,133.2819366455078,1.1657724380493164,140.2941131591797,160.6279754638672,33.74531173706055,54.36293411254883,49.25,84.76239776611328,81.49810028076172,8.183221817016602
2022-10-17,134.7359161376953,1.1754069328308105,141.75550842285156,160.15554809570312,33.50078201293945,56.33976745605469,48.25,84.76239776611328,82.73291778564453,8.41837215423584
2022-10-18,135.2205810546875,1.1850414276123047,142.7297821044922,160.6279754638672,33.50078201293945,57.822391510009766,49.5,84.9884262084961,85.20256042480469,8.41837215423584
2022-10-19,136.18991088867188,1.1946759223937988,144.19117736816406,159.21066284179688,33.50078201293945,57.822391510009766,50.0,85.21446228027344,86.43738555908203,8.37134075164795
2022-10-20,138.61322021484375,1.2332137823104858,144.6782989501953,162.0452880859375,33.98984146118164,57.822391510009766,49.5,86.11859893798828,87.17827606201172,8.37134075164795
2022-10-21,137.64389038085938,1.24284827709198,142.24264526367188,162.9901580810547,33.98984146118164,57.822391510009766,50.0,86.3446273803711,86.93131256103516,8.37134075164795
2022-10-25,140.06719970703125,1.2813862562179565,137.85845947265625,163.9350128173828,34.234375,58.31660079956055,49.25,86.3446273803711,88.90702056884766,8.512432098388672
