iters,time
0,0.0
1,2.384185791015625e-07
2,2.384185791015625e-07
3,4.76837158203125e-07
4,4.76837158203125e-07
5,4.76837158203125e-07
6,7.152557373046875e-07
7,7.152557373046875e-07
8,7.152557373046875e-07
9,9.5367431640625e-07
10,9.5367431640625e-07
11,9.5367431640625e-07
12,9.5367431640625e-07
13,1.1920928955078125e-06
14,1.1920928955078125e-06
15,1.1920928955078125e-06
16,1.1920928955078125e-06
17,1.430511474609375e-06
18,1.430511474609375e-06
19,1.430511474609375e-06
20,1.6689300537109375e-06
21,1.6689300537109375e-06
22,1.6689300537109375e-06
23,1.6689300537109375e-06
24,1.9073486328125e-06
25,1.9073486328125e-06
26,1.9073486328125e-06
27,1.9073486328125e-06
28,2.1457672119140625e-06
29,2.1457672119140625e-06
30,2.1457672119140625e-06
31,2.1457672119140625e-06
32,2.1457672119140625e-06
33,2.384185791015625e-06
34,2.384185791015625e-06
35,2.384185791015625e-06
36,2.384185791015625e-06
37,2.6226043701171875e-06
38,2.6226043701171875e-06
39,2.6226043701171875e-06
40,2.6226043701171875e-06
41,2.86102294921875e-06
42,2.86102294921875e-06
43,2.86102294921875e-06
44,2.86102294921875e-06
45,3.337860107421875e-06
46,3.337860107421875e-06
47,3.337860107421875e-06
48,3.337860107421875e-06
49,3.5762786865234375e-06
50,3.5762786865234375e-06
51,3.5762786865234375e-06
52,3.5762786865234375e-06
53,3.814697265625e-06
54,3.814697265625e-06
55,3.814697265625e-06
56,3.814697265625e-06
57,4.0531158447265625e-06
58,4.0531158447265625e-06
59,4.0531158447265625e-06
60,4.0531158447265625e-06
61,4.0531158447265625e-06
62,4.291534423828125e-06
63,4.291534423828125e-06
64,4.291534423828125e-06
65,4.5299530029296875e-06
66,4.5299530029296875e-06
67,4.5299530029296875e-06
68,4.5299530029296875e-06
69,4.76837158203125e-06
70,4.76837158203125e-06
71,4.76837158203125e-06
72,4.76837158203125e-06
73,4.76837158203125e-06
74,5.0067901611328125e-06
75,5.0067901611328125e-06
76,5.0067901611328125e-06
77,5.245208740234375e-06
78,5.245208740234375e-06
79,5.4836273193359375e-06
80,5.4836273193359375e-06
