iters,time
182,1.33514404296875e-05
183,1.33514404296875e-05
184,1.33514404296875e-05
185,1.33514404296875e-05
186,1.33514404296875e-05
187,1.33514404296875e-05
188,1.3589859008789062e-05
189,1.3589859008789062e-05
190,1.3589859008789062e-05
191,1.3589859008789062e-05
192,1.3589859008789062e-05
193,1.3828277587890625e-05
194,1.3828277587890625e-05
195,1.3828277587890625e-05
196,1.3828277587890625e-05
197,1.3828277587890625e-05
198,1.3828277587890625e-05
199,1.4066696166992188e-05
200,1.4066696166992188e-05
201,1.4066696166992188e-05
202,1.4066696166992188e-05
203,1.4066696166992188e-05
204,1.430511474609375e-05
205,1.430511474609375e-05
206,1.430511474609375e-05
207,1.430511474609375e-05
208,1.430511474609375e-05
209,1.4543533325195312e-05
210,1.4543533325195312e-05
211,1.4543533325195312e-05
212,1.4543533325195312e-05
213,1.4543533325195312e-05
214,1.4781951904296875e-05
215,1.4781951904296875e-05
216,1.4781951904296875e-05
217,1.4781951904296875e-05
218,1.4781951904296875e-05
219,1.4781951904296875e-05
220,1.52587890625e-05
221,1.52587890625e-05
222,1.52587890625e-05
223,1.52587890625e-05
224,1.52587890625e-05
225,1.5497207641601562e-05
226,1.5497207641601562e-05
227,1.5497207641601562e-05
228,1.621246337890625e-05
229,1.621246337890625e-05
230,1.621246337890625e-05
231,1.621246337890625e-05
232,1.621246337890625e-05
233,1.6450881958007812e-05
234,1.6450881958007812e-05
235,1.6450881958007812e-05
236,1.6450881958007812e-05
237,1.6689300537109375e-05
238,1.6689300537109375e-05
239,1.6689300537109375e-05
240,1.6689300537109375e-05
241,1.6689300537109375e-05
242,1.6689300537109375e-05
243,1.6927719116210938e-05
244,1.6927719116210938e-05
245,1.6927719116210938e-05
246,1.6927719116210938e-05
247,1.6927719116210938e-05
248,1.71661376953125e-05
249,1.71661376953125e-05
250,1.71661376953125e-05
251,1.71661376953125e-05
252,1.71661376953125e-05
253,1.7404556274414062e-05
254,1.7404556274414062e-05
255,1.7404556274414062e-05
256,1.7404556274414062e-05
257,1.7642974853515625e-05
258,1.7642974853515625e-05
259,1.7642974853515625e-05
260,1.7881393432617188e-05
261,1.7881393432617188e-05
262,1.7881393432617188e-05
263,1.7881393432617188e-05
264,1.7881393432617188e-05
265,1.811981201171875e-05
266,1.811981201171875e-05
267,1.811981201171875e-05
268,1.811981201171875e-05
269,1.8596649169921875e-05
270,1.8596649169921875e-05
271,1.8596649169921875e-05
272,1.8596649169921875e-05
273,1.8835067749023438e-05
274,1.8835067749023438e-05
275,1.8835067749023438e-05
276,1.8835067749023438e-05
277,1.8835067749023438e-05
278,1.9073486328125e-05
279,1.9073486328125e-05
280,1.9073486328125e-05
281,1.9073486328125e-05
282,1.9073486328125e-05
283,1.9311904907226562e-05
284,1.9311904907226562e-05
285,1.9311904907226562e-05
286,1.9550323486328125e-05
287,1.9550323486328125e-05
288,1.9550323486328125e-05
289,1.9550323486328125e-05
290,1.9550323486328125e-05
291,1.9788742065429688e-05
292,1.9788742065429688e-05
293,1.9788742065429688e-05
294,1.9788742065429688e-05
295,1.9788742065429688e-05
296,2.002716064453125e-05
297,2.002716064453125e-05
298,2.002716064453125e-05
299,2.002716064453125e-05
300,2.002716064453125e-05
301,2.0265579223632812e-05
302,2.0265579223632812e-05
303,2.0265579223632812e-05
304,2.0265579223632812e-05
305,2.0265579223632812e-05
306,2.0503997802734375e-05
307,2.0503997802734375e-05
308,2.0503997802734375e-05
309,2.0742416381835938e-05
310,2.0742416381835938e-05
311,2.0742416381835938e-05
312,2.0742416381835938e-05
313,2.0742416381835938e-05
314,2.09808349609375e-05
315,2.09808349609375e-05
316,2.09808349609375e-05
317,2.09808349609375e-05
318,2.1219253540039062e-05
319,2.1219253540039062e-05
320,2.1219253540039062e-05
321,2.1219253540039062e-05
322,2.1219253540039062e-05
323,2.1457672119140625e-05
324,2.1457672119140625e-05
325,2.1457672119140625e-05
326,2.1457672119140625e-05
327,2.1696090698242188e-05
328,2.1696090698242188e-05
329,2.1696090698242188e-05
330,2.1696090698242188e-05
331,2.1696090698242188e-05
332,2.2172927856445312e-05
333,2.2172927856445312e-05
334,2.2172927856445312e-05
335,2.2172927856445312e-05
336,2.2172927856445312e-05
337,2.2411346435546875e-05
338,2.2411346435546875e-05
